Sno,Book Name,Page No,Image URL,Status Code
5,"The Itsy, Bitsy Spider (Ss)",1,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Itsy_Bitsy_Spider_1.jpg,Accessible
5,"The Itsy, Bitsy Spider (Ss)",2,,No Image Found
5,"The Itsy, Bitsy Spider (Ss)",3,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Itsy_Bitsy_Spider_2.jpg,Accessible
5,"The Itsy, Bitsy Spider (Ss)",4,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Itsy_Bitsy_Spider_3.jpg,Accessible
5,"The Itsy, Bitsy Spider (Ss)",5,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Itsy_Bitsy_Spider_4.jpg,Accessible
5,"The Itsy, Bitsy Spider (Ss)",6,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Itsy_Bitsy_Spider_5.jpg,Accessible
5,"The Itsy, Bitsy Spider (Ss)",7,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Itsy_Bitsy_Spider_6.jpg,Accessible
5,"The Itsy, Bitsy Spider (Ss)",8,https://augie-read.s3.eu-west-2.amazonaws.com/books/The_Itsy_Bitsy_Spider_6.jpg,Accessible
6,9 Cat Night,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_2.jpg,Accessible
6,9 Cat Night,2,,No Image Found
6,9 Cat Night,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_2.jpg,Accessible
6,9 Cat Night,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_3.jpg,Accessible
6,9 Cat Night,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_3.jpg,Accessible
6,9 Cat Night,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_4.jpg,Accessible
6,9 Cat Night,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_4.jpg,Accessible
6,9 Cat Night,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_5.jpg,Accessible
6,9 Cat Night,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_6.jpg,Accessible
6,9 Cat Night,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_6.jpg,Accessible
6,9 Cat Night,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_7.jpg,Accessible
6,9 Cat Night,12,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_8.jpg,Accessible
6,9 Cat Night,13,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_8.jpg,Accessible
6,9 Cat Night,14,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_9.jpg,Accessible
6,9 Cat Night,15,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_10.jpg,Accessible
6,9 Cat Night,16,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_10.jpg,Accessible
6,9 Cat Night,17,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_11.jpg,Accessible
6,9 Cat Night,18,https://augie-read.s3.eu-west-2.amazonaws.com/books/9_Cat_Night_11.jpg,Accessible
7,Creepy Crawlers,1,https://augie-read.s3.eu-west-2.amazonaws.com/books/Creepy_Crawlers_2.jpg,Accessible
7,Creepy Crawlers,2,,No Image Found
7,Creepy Crawlers,3,https://augie-read.s3.eu-west-2.amazonaws.com/books/Creepy_Crawlers_2.jpg,Accessible
7,Creepy Crawlers,4,https://augie-read.s3.eu-west-2.amazonaws.com/books/Creepy_Crawlers_3.jpg,Accessible
7,Creepy Crawlers,5,https://augie-read.s3.eu-west-2.amazonaws.com/books/Creepy_Crawlers_3.jpg,Accessible
7,Creepy Crawlers,6,https://augie-read.s3.eu-west-2.amazonaws.com/books/Creepy_Crawlers_4.jpg,Accessible
7,Creepy Crawlers,7,https://augie-read.s3.eu-west-2.amazonaws.com/books/Creepy_Crawlers_4.jpg,Accessible
7,Creepy Crawlers,8,https://augie-read.s3.eu-west-2.amazonaws.com/books/Creepy_Crawlers_4.jpg,Accessible
7,Creepy Crawlers,9,https://augie-read.s3.eu-west-2.amazonaws.com/books/Creepy_Crawlers_4.jpg,Accessible
7,Creepy Crawlers,10,https://augie-read.s3.eu-west-2.amazonaws.com/books/Creepy_Crawlers_5.jpg,Accessible
7,Creepy Crawlers,11,https://augie-read.s3.eu-west-2.amazonaws.com/books/Creepy_Crawlers_5.jpg,Accessible
7,Creepy Crawlers,12,https://augie-read.s3.eu-west-2.amazonaws.com/books/Creepy_Crawlers_5.jpg,Accessible
7,Creepy Crawlers,13,https://augie-read.s3.eu-west-2.amazonaws.com/books/Creepy_Crawlers_5.jpg,Accessible
